attr_value,b_sage_cover,b_shrub_cover,b_forb_cover_arid,b_forb_cover_mesic,b_forb_rich_arid,b_forb_rich_mesic,s_forb_cover_arid,s_forb_cover_mesic,s_forb_cover_meadow,s_forb_rich_arid,s_forb_rich_mesic,s_grass_cover_arid,s_grass_cover_mesic,s_grass_cover_meadow,w_sage_height_big,w_sage_height_low,w_sage_cover_big,w_sage_cover_low,brotec_cover,s_dist_sage_altered,s_dist_sage_unaltered
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,0,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.996667,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.993334,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.990001,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.986668,1
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.983335,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.980002,1
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.976669,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.973336,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.970003,1
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.96667,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.963337,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.960004,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.956671,1
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.953338,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.950005,1
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.946672,1
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.943339,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.940006,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.936673,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.93334,1
81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.930007,1
