,map_unit_id,map_unit_name,meadow,map_unit_area,brotec_low,brotec_med,brotec_high,forb_grass_low,forb_grass_med,forb_grass_high,shrub_low,shrub_med,shrub_high,conifer
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,91.10255758107878,238.26822751974458,350.39445223491833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,First Creek Meadow-U,Unaltered,4.547157718,5.655538218458395,5.655538218458395,5.655538218458395,0.0,1.261559975526286,1.261559975526286,0.0,0.0,0.0,0.0
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,271.80531864114624,465.0891007859615,465.0891007859615,0.7254450047863247,6.166282540683942,6.166282540683942,2.154170891588189,3.877507604858716,5.170010139811627,0.0
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,9.233573740466214,57.70983587791383,115.41967175582766,0.0,0.0,0.0,3.072258508905652,7.022305163212964,8.77788145401621,0.0
4,5,NFLH Channel-U,Unaltered,25.47470026,47.48032465134379,97.39553774634622,120.52697796110343,0.07935932705257817,0.18938021228456195,0.22545263367209772,0.0,0.0,0.0,0.0
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,8.532579170579059,21.772788228374154,29.422686795100205,0.0,0.0,0.0,0.0,0.0,1.9924157848426143,0.0
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,14.089856272013304,70.44928136006652,140.89856272013304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,13.037594933727194,65.18797466863596,130.37594933727192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,NFLH Meadow-A,Altered,1.44593919,,,,,,,,,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,58.22644232837203,172.14774253605646,253.1584449059654,0.0,0.0,0.0,10.414017568250127,17.852601545571705,29.754335909286155,0.0
10,12,SFLH Disturbed Sagebrush,No Meadow,563.3727268,0.0,63.32325534314216,158.3081383578554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,SFLH Greasewood Mix 2,No Meadow,58.94992104,9.881278091141597,14.053373285179159,14.053373285179159,1.2161573035251212,4.324114856978204,7.116772368776626,0.0,0.0,0.0,0.0
12,14,SFLH Meadow-A,Altered,149.6917473,0.0,0.0,0.0,0.0,37.37676364587745,43.738765968579976,0.0,0.0,0.0,0.0
13,15,SFLH Meadow-U,Unaltered,30.50475985,0.0,0.0,0.0,0.0,13.765204697156616,13.765204697156616,0.0,0.0,0.0,0.0
14,16,SFLH Sodic Mix 1,No Meadow,34.59620489,0.0,0.0,0.0,3.365791518123931,5.178140797113739,5.178140797113739,0.0,0.0,3.365791518123931,0.0
15,17,Snowstorm Mountains Disturbed Sagebrush,No Meadow,1004.239271,0.0,0.0,0.0,0.0,0.0,0.0,31.882845143214215,54.65630595979571,68.3203824497446,0.0
16,18,Snowstorm Mountains Meadow-U,Unaltered,14.13400536,14.667341395188268,38.360739033569324,56.41285151995487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,Snowstorm Mountains Mountain Sagebrush Mix,No Meadow,1525.225901,0.0,0.0,0.0,0.0,80.96009175775922,80.96009175775922,0.0,0.0,0.0,0.0
18,28,Spring Creek Big Sagebrush,No Meadow,1308.039248,216.56846734600177,264.6947934228909,264.6947934228909,28.366650634740736,82.37238934318952,82.37238934318952,36.61950203263919,48.826002710185584,70.18737889589175,0.0
19,29,Spring Creek Big Sagebrush Bottom,No Meadow,125.1947221,1.4702430448122352,23.523888716995764,58.80972179248941,0.0,0.0,0.0,1.5225832456690838,1.5225832456690838,1.5225832456690838,0.0
20,31,Spring Creek Disturbed Sagebrush,No Meadow,446.5607843,14.644880793150453,109.83660594862842,244.0813465525076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,32,Spring Creek Disturbed Sagebrush 2,No Meadow,373.9286888,0.0,6.203310464523278,32.78892674105161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,33,Spring Creek Greasewood Mix,No Meadow,204.8487452,20.43090591841554,52.13403579181896,70.45139971867425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,34,Spring Creek Meadow-U,Unaltered,5.310591067,0.0,0.0,0.0,0.0,3.9326255982980327,3.9326255982980327,0.0,0.0,0.0,0.0
24,35,Twentyone Creek Big Sagebrush,No Meadow,249.9146028,60.21318756978404,103.03145428607489,103.03145428607489,0.20724329429181243,7.357136947359319,9.17051577241268,0.3547654477669414,0.9460411940451594,1.1825514925564435,0.0
25,36,Twentyone Creek Disturbed Sagebrush,No Meadow,500.348959,0.0,15.337436614079817,74.49612069695911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,37,Twentyone Creek Meadow-U,Unaltered,22.94827031,0.0,11.592329550921889,42.89161933841099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,38,Twentyone Creek Mountain Sagebrush Mix,No Meadow,142.5343219,0.0,2.873626339897604,8.026335639024344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,39,Water,No Meadow,364.4585975,,,,,,,,,,
29,40,Chimney Meadow-A,Altered,154.0384046,8.711667746988434,8.711667746988434,8.711667746988434,4.389084513749893,19.35187262880638,21.34691104414724,0.0,0.0,0.0,0.0
30,42,Snowstorm Mountains Disturbed Sagebrush 2 ,No Meadow,154.2289465,0.0,23.552172995677022,65.78365560861515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8888,Existing,No Meadow,3.391214356626252,,,,,,,,,,
